id_MODEL,group_MODEL,algorithm_MODEL,count_MODEL,Accuracy_MODEL
1,Correct,Logistic Regression,1,F1 Score: 68%
2,Correct,Logistic Regression,1,F1 Score: 68%
3,Correct,Logistic Regression,1,F1 Score: 68%
4,Correct,Logistic Regression,1,F1 Score: 68%
5,Correct,Logistic Regression,1,F1 Score: 68%
6,Correct,Logistic Regression,1,F1 Score: 68%
7,Correct,Logistic Regression,1,F1 Score: 68%
8,Correct,Logistic Regression,1,F1 Score: 68%
9,Correct,Logistic Regression,1,F1 Score: 68%
10,Correct,Logistic Regression,1,F1 Score: 68%
11,Correct,Logistic Regression,1,F1 Score: 68%
12,Correct,Logistic Regression,1,F1 Score: 68%
13,Correct,Logistic Regression,1,F1 Score: 68%
14,Correct,Logistic Regression,1,F1 Score: 68%
15,Correct,Logistic Regression,1,F1 Score: 68%
16,Correct,Logistic Regression,1,F1 Score: 68%
17,Correct,Logistic Regression,1,F1 Score: 68%
18,Correct,Logistic Regression,1,F1 Score: 68%
19,Correct,Logistic Regression,1,F1 Score: 68%
20,Correct,Logistic Regression,1,F1 Score: 68%
21,Correct,Logistic Regression,1,F1 Score: 68%
22,Correct,Logistic Regression,1,F1 Score: 68%
23,Correct,Logistic Regression,1,F1 Score: 68%
24,Correct,Logistic Regression,1,F1 Score: 68%
25,Correct,Logistic Regression,1,F1 Score: 68%
26,Correct,Logistic Regression,1,F1 Score: 68%
27,Correct,Logistic Regression,1,F1 Score: 68%
28,Correct,Logistic Regression,1,F1 Score: 68%
29,Correct,Logistic Regression,1,F1 Score: 68%
30,Correct,Logistic Regression,1,F1 Score: 68%
31,Correct,Logistic Regression,1,F1 Score: 68%
32,Correct,Logistic Regression,1,F1 Score: 68%
33,Correct,Logistic Regression,1,F1 Score: 68%
34,Correct,Logistic Regression,1,F1 Score: 68%
35,Correct,Logistic Regression,1,F1 Score: 68%
36,Correct,Logistic Regression,1,F1 Score: 68%
37,Correct,Logistic Regression,1,F1 Score: 68%
38,Correct,Logistic Regression,1,F1 Score: 68%
39,Correct,Logistic Regression,1,F1 Score: 68%
40,Correct,Logistic Regression,1,F1 Score: 68%
41,Correct,Logistic Regression,1,F1 Score: 68%
42,Correct,Logistic Regression,1,F1 Score: 68%
43,Correct,Logistic Regression,1,F1 Score: 68%
44,Correct,Logistic Regression,1,F1 Score: 68%
45,Correct,Logistic Regression,1,F1 Score: 68%
46,Correct,Logistic Regression,1,F1 Score: 68%
47,Correct,Logistic Regression,1,F1 Score: 68%
48,Correct,Logistic Regression,1,F1 Score: 68%
49,Correct,Logistic Regression,1,F1 Score: 68%
50,Correct,Logistic Regression,1,F1 Score: 68%
51,Correct,Logistic Regression,1,F1 Score: 68%
52,Correct,Logistic Regression,1,F1 Score: 68%
53,Correct,Logistic Regression,1,F1 Score: 68%
54,Correct,Logistic Regression,1,F1 Score: 68%
55,Correct,Logistic Regression,1,F1 Score: 68%
56,Correct,Logistic Regression,1,F1 Score: 68%
57,Correct,Logistic Regression,1,F1 Score: 68%
58,Correct,Logistic Regression,1,F1 Score: 68%
59,Correct,Logistic Regression,1,F1 Score: 68%
60,Correct,Logistic Regression,1,F1 Score: 68%
61,Correct,Logistic Regression,1,F1 Score: 68%
62,Correct,Logistic Regression,1,F1 Score: 68%
63,Correct,Logistic Regression,1,F1 Score: 68%
64,Correct,Logistic Regression,1,F1 Score: 68%
65,Correct,Logistic Regression,1,F1 Score: 68%
66,Correct,Logistic Regression,1,F1 Score: 68%
67,Correct,Logistic Regression,1,F1 Score: 68%
68,Correct,Logistic Regression,1,F1 Score: 68%
69,Wrong,Logistic Regression,1,F1 Score: 68%
70,Wrong,Logistic Regression,1,F1 Score: 68%
71,Wrong,Logistic Regression,1,F1 Score: 68%
72,Wrong,Logistic Regression,1,F1 Score: 68%
73,Wrong,Logistic Regression,1,F1 Score: 68%
74,Wrong,Logistic Regression,1,F1 Score: 68%
75,Wrong,Logistic Regression,1,F1 Score: 68%
76,Wrong,Logistic Regression,1,F1 Score: 68%
77,Wrong,Logistic Regression,1,F1 Score: 68%
78,Wrong,Logistic Regression,1,F1 Score: 68%
79,Wrong,Logistic Regression,1,F1 Score: 68%
80,Wrong,Logistic Regression,1,F1 Score: 68%
81,Wrong,Logistic Regression,1,F1 Score: 68%
82,Wrong,Logistic Regression,1,F1 Score: 68%
83,Wrong,Logistic Regression,1,F1 Score: 68%
84,Wrong,Logistic Regression,1,F1 Score: 68%
85,Wrong,Logistic Regression,1,F1 Score: 68%
86,Wrong,Logistic Regression,1,F1 Score: 68%
87,Wrong,Logistic Regression,1,F1 Score: 68%
88,Wrong,Logistic Regression,1,F1 Score: 68%
89,Wrong,Logistic Regression,1,F1 Score: 68%
90,Wrong,Logistic Regression,1,F1 Score: 68%
91,Wrong,Logistic Regression,1,F1 Score: 68%
92,Wrong,Logistic Regression,1,F1 Score: 68%
93,Wrong,Logistic Regression,1,F1 Score: 68%
94,Wrong,Logistic Regression,1,F1 Score: 68%
95,Wrong,Logistic Regression,1,F1 Score: 68%
96,Wrong,Logistic Regression,1,F1 Score: 68%
97,Wrong,Logistic Regression,1,F1 Score: 68%
98,Wrong,Logistic Regression,1,F1 Score: 68%
99,Wrong,Logistic Regression,1,F1 Score: 68%
100,Wrong,Logistic Regression,1,F1 Score: 68%
101,Correct,Naive Bayes,1,F1 Score: 69%
102,Correct,Naive Bayes,1,F1 Score: 69%
103,Correct,Naive Bayes,1,F1 Score: 69%
104,Correct,Naive Bayes,1,F1 Score: 69%
105,Correct,Naive Bayes,1,F1 Score: 69%
106,Correct,Naive Bayes,1,F1 Score: 69%
107,Correct,Naive Bayes,1,F1 Score: 69%
108,Correct,Naive Bayes,1,F1 Score: 69%
109,Correct,Naive Bayes,1,F1 Score: 69%
110,Correct,Naive Bayes,1,F1 Score: 69%
111,Correct,Naive Bayes,1,F1 Score: 69%
112,Correct,Naive Bayes,1,F1 Score: 69%
113,Correct,Naive Bayes,1,F1 Score: 69%
114,Correct,Naive Bayes,1,F1 Score: 69%
115,Correct,Naive Bayes,1,F1 Score: 69%
116,Correct,Naive Bayes,1,F1 Score: 69%
117,Correct,Naive Bayes,1,F1 Score: 69%
118,Correct,Naive Bayes,1,F1 Score: 69%
119,Correct,Naive Bayes,1,F1 Score: 69%
120,Correct,Naive Bayes,1,F1 Score: 69%
121,Correct,Naive Bayes,1,F1 Score: 69%
122,Correct,Naive Bayes,1,F1 Score: 69%
123,Correct,Naive Bayes,1,F1 Score: 69%
124,Correct,Naive Bayes,1,F1 Score: 69%
125,Correct,Naive Bayes,1,F1 Score: 69%
126,Correct,Naive Bayes,1,F1 Score: 69%
127,Correct,Naive Bayes,1,F1 Score: 69%
128,Correct,Naive Bayes,1,F1 Score: 69%
129,Correct,Naive Bayes,1,F1 Score: 69%
130,Correct,Naive Bayes,1,F1 Score: 69%
131,Correct,Naive Bayes,1,F1 Score: 69%
132,Correct,Naive Bayes,1,F1 Score: 69%
133,Correct,Naive Bayes,1,F1 Score: 69%
134,Correct,Naive Bayes,1,F1 Score: 69%
135,Correct,Naive Bayes,1,F1 Score: 69%
136,Correct,Naive Bayes,1,F1 Score: 69%
137,Correct,Naive Bayes,1,F1 Score: 69%
138,Correct,Naive Bayes,1,F1 Score: 69%
139,Correct,Naive Bayes,1,F1 Score: 69%
140,Correct,Naive Bayes,1,F1 Score: 69%
141,Correct,Naive Bayes,1,F1 Score: 69%
142,Correct,Naive Bayes,1,F1 Score: 69%
143,Correct,Naive Bayes,1,F1 Score: 69%
144,Correct,Naive Bayes,1,F1 Score: 69%
145,Correct,Naive Bayes,1,F1 Score: 69%
146,Correct,Naive Bayes,1,F1 Score: 69%
147,Correct,Naive Bayes,1,F1 Score: 69%
148,Correct,Naive Bayes,1,F1 Score: 69%
149,Correct,Naive Bayes,1,F1 Score: 69%
150,Correct,Naive Bayes,1,F1 Score: 69%
151,Correct,Naive Bayes,1,F1 Score: 69%
152,Correct,Naive Bayes,1,F1 Score: 69%
153,Correct,Naive Bayes,1,F1 Score: 69%
154,Correct,Naive Bayes,1,F1 Score: 69%
155,Correct,Naive Bayes,1,F1 Score: 69%
156,Correct,Naive Bayes,1,F1 Score: 69%
157,Correct,Naive Bayes,1,F1 Score: 69%
158,Correct,Naive Bayes,1,F1 Score: 69%
159,Correct,Naive Bayes,1,F1 Score: 69%
160,Correct,Naive Bayes,1,F1 Score: 69%
161,Correct,Naive Bayes,1,F1 Score: 69%
